date,type,km,hm,url
2026-03-10,Commute,56,0,
2026-03-12,Hills,40,500,
2026-03-15,Long ride,70,700,
2026-03-17,Commute,68,0,
2026-03-19,Hills,45,600,
2026-03-22,Long ride,80,800,
2026-03-24,Commute,73,0,
2026-03-26,Hills,50,700,
2026-03-29,Long ride,95,900,
2026-03-31,Commute,56,0,
2026-04-02,Hills,35,0,
2026-04-05,Long ride,70,0,
2026-04-07,Commute,78,0,
2026-04-09,Hills,55,900,
2026-04-12,Long ride,110,1200,
2026-04-14,Commute,83,0,
2026-04-16,Hills,60,1000,
2026-04-19,Long ride,125,1400,
2026-04-21,Commute,88,0,
2026-04-23,Hills,65,1100,
2026-04-26,Long ride,140,1600,
2026-04-28,Commute,56,0,
2026-04-30,Hills,45,0,
2026-05-03,Long ride,100,0,
2026-05-05,Commute,78,0,
2026-05-07,Hills,60,1000,
2026-05-10,Long ride,160,1800,
2026-05-12,Commute,56,0,
2026-05-14,Hills,35,0,
2026-05-17,Long ride,200,2000,
